# Modified from files "genes.fpkm_tracking" and "0_XLOC-LOC_ID_Conversion.txt"
gene_ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
XLOC_001743	290.392	394.832	515.049	1081.36
XLOC_001752	1334.98	174.777	1701.73	71.3757
XLOC_001781	153.196	382.182	112.411	321.873
XLOC_001783	421.447	496.142	367.739	981.008
XLOC_001784	602.567	899.892	665.955	1695.35
XLOC_001785	842.668	2498.26	1112.37	4060.19
XLOC_001787	0	9.00587	3.55769	42.8404
XLOC_001788	194.495	256.249	202.62	425.423
XLOC_001790	76.0994	20.6476	72.7587	0
XLOC_001792	308.658	0	338.769	110.488
XLOC_001795	550.141	958.413	734.933	524.128
XLOC_001809	49.458	56.0913	59.6497	121.373
XLOC_001813	692.165	288.053	559.896	257.462
XLOC_001830	1373.84	1909.79	1176.2	2254.93
XLOC_001842	282.94	222.523	252.682	421.819
XLOC_001855	268.717	43.7856	217.059	57.8106
XLOC_001864	218.499	520.435	252.806	70.8508
XLOC_001896	123.521	319.097	51.7251	61.1114
XLOC_001902	103.835	0	0	0
XLOC_001910	128.282	265.144	191.817	119.508
XLOC_001935	360.418	868.914	419.614	112.72
XLOC_001949	87.8056	123.145	161.646	39.9496
XLOC_001965	14.0012	34.92	0	9.51372
XLOC_001981	42.7652	107.234	63.9527	155.338
XLOC_001993	0	89.2647	89.6809	319.413
XLOC_002010	112.271	182.489	234.641	390.621
XLOC_002024	34826.2	14319.7	45533.6	30758.6
XLOC_002036	7656.6	3484	7640.05	5815.56
XLOC_002038	1066.94	223.37	1277.39	413.99
XLOC_002042	328.9	401.885	664.872	325.7
XLOC_002044	185.305	152.012	335.27	273.203
XLOC_002045	645.078	497.021	1244.08	693.363
XLOC_002047	367.676	309.514	420.142	166.918
XLOC_002053	1306.2	1228.85	1195.62	685.808
XLOC_002055	5205.65	1414.51	6305.44	1391.88
XLOC_002067	151.974	285.349	195.849	84.6422
XLOC_002069	204.079	197.827	82.3714	42.2072
XLOC_002083	337.066	85.7341	389.266	121.354
XLOC_002107	73.1405	241.432	135.054	125.233
XLOC_002111	31.3523	42.7908	33.7467	77.6668
XLOC_002112	797.466	1194.26	555.457	989.078
XLOC_002113	991.712	816.83	429.492	553.293
XLOC_002118	164.877	45.0248	90.5351	80.231
XLOC_002119	2375.81	1320.8	3503.05	4624.62
XLOC_002138	102.963	0	318.449	1123.58
XLOC_002157	129.807	301.972	212.407	141.101
XLOC_002198	3.14666	14.2903	24.9098	0
XLOC_002202	56.8724	35.3348	137.273	139.377
XLOC_002203	126.296	62.2289	263.459	42.8399
XLOC_002219	96.3725	44.3682	70.4661	114.479
XLOC_002224	163.843	382.087	466.608	241.673
XLOC_002236	214.536	118.15	649.838	216.219
XLOC_002238	143.83	139.882	452.878	149.892
XLOC_002241	153.42	127.159	205.263	128.551
XLOC_002253	180.032	189.936	278.073	316.454
XLOC_002260	56.3331	43.9007	112.424	147.899
XLOC_002267	123.851	124.641	136.646	70.3545
XLOC_002273	14.1764	0	0	37.9457
XLOC_002277	266.182	140.611	142.008	210.155
XLOC_002282	131.131	74.7489	200.574	115.358
XLOC_002302	14.176	13.3692	0	30.1541
XLOC_002306	813.318	877.628	1051.38	1338.88
XLOC_002325	32.2996	26.5527	0	13.1914
XLOC_002327	349.356	126.67	369.8	324.612
XLOC_002328	108.97	0	226.158	65.6157
XLOC_002339	37515.5	44844.5	39123.1	49396.1
XLOC_002357	1245.15	1821.86	1195.78	1035.73
XLOC_002358	248.394	166.474	85.6225	235.566
XLOC_002363	322.979	96.5931	342.051	122.288
XLOC_002377	315.55	974.107	573.474	275.587
XLOC_002379	19.1539	73.6357	30.9322	141.305
XLOC_002386	30.0855	64.522	58.3907	119.902
XLOC_002389	463.667	239.057	1075.65	72.9549
XLOC_002411	437.339	747.71	3088.92	1782
XLOC_002417	725.246	393.978	677.913	399.856
XLOC_002437	988.75	483.465	1158.74	1108.33
XLOC_002448	568.161	373.977	943.26	282.342
XLOC_002449	241.609	210.195	383.686	176.773
XLOC_002452	776.215	336.725	1061.91	902.915
XLOC_002466	2042.77	1276.96	2406.74	1479.35
XLOC_002471	542.572	572.282	479.803	290.987
XLOC_002472	0	261.977	0	784.767
XLOC_002485	92.3436	30.0405	126.067	33.3194
XLOC_002488	172.127	42.7704	203.677	126.936
XLOC_002490	398.546	107.59	391.825	310.394
XLOC_002497	17.7167	3.35924	0	2.70758
XLOC_002505	294.749	323.338	216.219	197.233
XLOC_002527	606.084	280.431	431.093	249.694
XLOC_002530	99.4646	164.029	119.021	213.202
XLOC_002534	4143.32	527.937	4504.21	779.066
XLOC_002536	326.705	176.749	457.045	34.7036
XLOC_002545	351.756	164.854	341.342	355.186
XLOC_002560	662.704	296.244	459.496	507.928
XLOC_002569	22.1412	63.5231	22.6343	26.6292
XLOC_002570	136.711	30.2196	92.8664	48.3211
XLOC_002575	8092.32	5190.03	7157.43	4051.09
XLOC_002593	47.3654	156.61	84.3612	98.2615
XLOC_002595	209.734	389.764	192.148	235.105
XLOC_002630	138.705	623.424	50.4165	95.9543
XLOC_002642	222.214	44.2586	124	97.1728
XLOC_002644	90.2329	96.0342	40.8281	148.636
XLOC_002645	303.03	396.672	129.608	358.538
XLOC_002672	168.738	83.2115	279.579	97.9952
XLOC_002688	238.287	359.221	357.687	372.555
XLOC_002701	93.3321	192.203	56.2984	95.1623
XLOC_002717	1161.67	898.919	1502.92	2689.97
XLOC_002744	257.951	325.966	281.84	486.998
XLOC_002747	242.121	490.016	323.587	419.811
XLOC_002789	1238.35	1149.43	649.007	1107.71
XLOC_002791	1694.83	1258.16	3483.69	1974.99
XLOC_002827	476.769	147.695	1130.55	97.5086
XLOC_002829	285.892	279.247	725.041	91.8086
XLOC_002836	107.777	130.023	270.91	282.536
XLOC_002839	326.995	146.329	269.376	222.15
XLOC_002840	138.854	203.35	113.766	119.319
XLOC_002851	143.353	231.436	82.098	419.182
XLOC_002870	1668.18	2409.89	2580.58	1753.4
XLOC_002895	328.273	129.003	411.956	102.465
XLOC_002902	1028.63	854.065	71.3794	0
XLOC_002908	284.38	60.111	0	392.653
XLOC_002912	859.283	774.855	1035.29	1373.97
XLOC_002945	31.2441	0	9.59837	0
XLOC_002949	3456.61	4651.84	3142.21	3810.84
XLOC_002952	303.281	29.1685	438.129	101.851
XLOC_002955	635.457	309.614	597.486	317.621
XLOC_002957	593.916	357.773	465.339	426.406
XLOC_002959	73.2358	104.021	72.3786	167.055
XLOC_002960	693.076	1133.51	694.327	888.869
XLOC_002963	109.4	231.152	31.7266	0
XLOC_002971	227.513	78.118	245.994	47.4893
XLOC_002978	2501.78	900.548	3219.02	1034.94
