ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105334815|XLOC_036251|baculoviral_IAP_repeat-containing_protein_3	28.3325	58.47	163.582	22.2379
LOC105334934|XLOC_005203|metal-response_element-binding_transcription_factor_2-like	20.3181	318.593	36.5805	72.3698
LOC105335006|XLOC_014816|metalloproteinase_inhibitor_3-like	2755.99	1864.98	11377.6	1836.24
LOC105335006|XLOC_014817|metalloproteinase_inhibitor_3-like	100.929	56.1277	198.033	22.9734
LOC105335066|XLOC_030351|calcium-dependent_protein_kinase_C	1512.75	1066.31	1061.6	796.557
LOC105335510|XLOC_031275|PDZ_and_LIM_domain_protein_3	579.115	153.725	839.303	698.326
LOC105335511|XLOC_031280|PDZ_and_LIM_domain_protein_5	306.335	207.254	309.17	234.117
LOC105335512|XLOC_031273|suppressor_of_tumorigenicity_14_protein_homolog	1226.46	221.095	980.203	484.688
LOC105335652|XLOC_022897|metastasis-associated_protein_MTA3	183.487	348.475	164.35	276.751
LOC105335681|XLOC_033931|A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_6	18.9692	0	2.05636	0
LOC105335681|XLOC_033932|A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_6	191.718	43.1042	47.5022	26.849
LOC105335954|XLOC_010354|RNA-binding_protein_FUS	3230.9	2278.4	2459.53	2700.24
LOC105336022|XLOC_010057|cysteine_and_histidine-rich_protein_1	2243.1	1644.7	3104.44	1550.79
LOC105336033|XLOC_012694|putative_ATP-dependent_RNA_helicase_TDRD12	698.858	533.561	1385.05	1326.04
LOC105336088|XLOC_034425|WD_repeat_and_FYVE_domain-containing_protein_2-like	2567.39	1527.73	3085.37	4858.48
LOC105336114|XLOC_005643|A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_20	240.171	46.1525	123.769	24.685
LOC105336163|XLOC_021064|PHD_finger_protein_23B	80.0794	89.2929	251.084	99.7385
LOC105336469|XLOC_031676|NFX1-type_zinc_finger-containing_protein_1	1069.09	1152.65	1999.83	2390.58
LOC105336640|XLOC_030737|uncharacterized	270.289	458.229	347.79	333.319
LOC105336839|XLOC_024267|mRNA_decay_activator_protein_ZFP36L1	9655.55	9291.26	16440.6	10546.3
LOC105336839|XLOC_024268|mRNA_decay_activator_protein_ZFP36L1	18859.9	11315.1	23910.3	14117.4
LOC105336969|XLOC_038788|superoxide_dismutase_[Cu-Zn]	1506.87	33063.4	6584.83	57502.3
LOC105337075|XLOC_017200|arf-GAP_with_SH3_domain,_ANK_repeat_and_PH_domain-containing_protein_2	476.935	303.199	342.936	556.885
LOC105337075|XLOC_017201|arf-GAP_with_SH3_domain,_ANK_repeat_and_PH_domain-containing_protein_2	88.5248	160.775	92.2454	173.545
LOC105337122|XLOC_027518|peroxidasin	267.167	367.339	195.024	484.117
LOC105337122|XLOC_027519|peroxidasin	195.932	348.634	185.858	323.391
LOC105337122|XLOC_027521|peroxidasin	389.913	330.617	220.781	364.517
LOC105337260|XLOC_000647|E3_ubiquitin-protein_ligase_arkadia-A	1377.94	929.396	2032.36	1395.51
