tracking_id	E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
XLOC_000290	12.0816	4.06867	15.2395	1.19246	5.88796	3.38142	4.29368	2.98692	7.55738	0	0	0
XLOC_000296	9.88491	21.1571	9.86087	13.1171	3.92531	1.12714	45.513	32.8561	28.9699	2.3164	0	0.711454
XLOC_000297	59.3095	46.3828	58.2688	7.15477	7.85062	5.63571	17.1747	12.9433	12.5956	1.1582	1.55503	2.13436
XLOC_000298	16.4748	35.8043	32.2719	3.57738	0.981327	3.38142	6.01115	6.96948	11.3361	0	1.55503	2.84582
XLOC_000300	0	1.62747	0	33.3889	23.5518	10.1443	3.43495	2.98692	7.55738	54.4355	25.6579	34.8612
XLOC_000301	25.2614	17.9022	17.0324	0	0	0	0.858736	0	0	0	0	0
XLOC_000306	58.2111	34.9906	33.1684	0	0	0	0	0	0	0	0	0
XLOC_000307	52.7195	34.1768	38.547	0	0	0	0	0	0	0	0	0
XLOC_000309	68.096	60.2163	50.2008	25.0417	31.4025	27.0514	56.6766	81.6424	46.6038	41.6952	34.9881	43.3987
XLOC_000319	2.19665	0	0	1.19246	1.96265	1.12714	0	0	0	2.3164	7.77513	3.55727
XLOC_000322	17.5732	11.3923	12.5502	25.0417	23.5518	49.5942	18.8922	23.8953	11.3361	35.9042	38.8756	19.9207
XLOC_000326	158.159	345.837	318.237	35.7738	85.3755	45.0856	278.231	217.049	277.104	101.922	62.201	88.9317
XLOC_000350	0	1.62747	1.79288	0	0	0	4.29368	5.97384	1.25956	3.4746	0.777513	0
XLOC_000358	3.29497	1.62747	0.896442	0	1.96265	0	10.3048	4.9782	5.03825	0	0	0
XLOC_000359	102.144	157.864	109.366	57.2381	25.5145	38.3228	79.8625	68.6991	93.2076	61.3847	48.2058	45.533
XLOC_000360	873.167	840.587	816.659	231.337	289.491	224.301	670.673	680.022	613.407	271.019	218.481	246.163
XLOC_000362	258.106	297.827	269.829	33.3889	30.4211	39.4499	200.086	192.158	201.53	38.2206	56.7584	40.5529
XLOC_000379	31.8514	44.7554	43.9257	69.1628	81.4501	58.6113	84.1562	108.525	103.284	69.4921	41.9857	64.7423
XLOC_000380	9.88491	11.3923	16.136	25.0417	19.6265	16.9071	46.3718	32.8561	26.4508	11.582	20.2153	16.3634
XLOC_000382	0	4.88241	2.68933	0	0	0	5.15242	6.96948	6.29781	2.3164	10.1077	11.3833
XLOC_000395	204.288	157.051	163.153	245.647	207.06	241.208	185.487	214.062	186.415	149.408	177.273	155.097
